(56603348138867,609685)
(56603348145867,398668)
(56603348153867,398669)
(56603348161867,398670)
(56603348166867,386282)
(56603348172867,388270)
(56603348178867,396274)
(56603348185867,384302)
(56603348192867,384308)
(56603348199867,384330)
(56603348206867,485317)
(56603348215867,485318)
(56603348223867,485319)
(56603348231867,693211)
(56603348239867,693212)
(57859657297734,118706)
(58007693784288,636941)
(58007693787026,636942)
(58007693789764,636943)
(58007693792502,636944)
(58007693795240,636945)
(58007693797978,637941)
(58007693800716,637942)
(58007693803454,637943)
(58007693806192,637944)
(58007693808930,637945)
(58007693811668,638941)
(58007693814406,638942)
(58007693817144,638943)
(58007693819882,638944)
(58007693822620,638945)
(58007693825358,639941)
(58007693828096,639942)
(58007693830834,639943)
(58007693833572,639944)
(58007693836310,639945)
(58007693839048,640941)
(58007693841786,640942)
(58007693844524,640943)
(58007693847262,640944)
(58007693850000,640945)
(58007693906067,385583)
(58007693908668,385584)
(58007693911269,385585)
(58007693913870,385586)
(58007693916471,385587)
(58007693919072,386583)
(58007693921673,386584)
(58007693924274,386585)
(58007693926875,386586)
(58007693929476,386587)
(58007693932077,387583)
(58007693934678,387584)
(58007693937279,387585)
(58007693939880,387586)
(58007693942481,387587)
(58007693945082,388583)
(58007693947683,388584)
(58007693950284,388585)
(58007693952885,388586)
(58007693955486,388587)
(58007693958087,389583)
(58007693960688,389584)
(58007693963289,389585)
(58007693965890,389586)
(58007693968491,389587)
(58007694024253,156398)
(58007694026717,156401)
(58007694029181,214689)
(58007694031645,267764)
(58007694034109,297781)
(58007694036573,367959)
(58007694039037,367961)
(58007694041501,391979)
(58007694043965,397958)
(58007694046429,397964)
(58007694070090,154312)
(58007694072554,156235)
(58007694075018,156239)
(58007694077482,156367)
(58007694079946,170514)
(58007694082410,170519)
(58007694084874,170951)
(58007694087338,430684)
(58007694089802,430750)
(58007694092266,433773)
(58007829098923,714133)
(58007829099469,400942)
(58007829101874,309930)
(58007829104279,390402)
(58007829106684,646257)
(58007829109089,261468)
(58007829111494,440388)
(58007829113899,347430)
(58007829116304,665119)
(58007829118709,396702)
(58007829121114,749347)
(58007829123519,657656)
(58007829125924,241904)
(58007829128329,447877)
(58007829130734,143634)
(58007829133139,752774)
(58007829135544,369293)
(58007829137949,443669)
(58007829140354,667454)
(58007829142759,629249)
(58007829199923,364581)
(58007829200469,725202)
(58007829203160,233648)
(58007829205851,273972)
(58007829208542,578595)
(58007829211233,739129)
(58007829213924,697975)
(58007829216615,359835)
(58007829219306,247981)
(58007829221997,302180)
(58007829224688,710948)
(58007829227379,323272)
(58007829230070,693110)
(58007829232761,244807)
(58007829235452,356728)
(58007829238143,385333)
(58007829240834,391453)
(58007829243525,729705)
(58007829297923,599754)
(58007829298469,696356)
(58007829300731,265647)
(58007829302993,582651)
(58007829305255,200697)
(58007829307517,724282)
(58007829309779,558757)
(58007829312041,739773)
(58007829314303,581373)
(58007829316565,256962)
(58007829318827,584981)
(58007829321089,405637)
(58007829323351,308225)
(58007829325613,377130)
(58007829327875,573980)
(58007829330137,482664)
(58007829332399,319547)
(58007829334661,261808)
(58007829336923,699270)
(58007829339185,314489)
(58007829394923,370314)
(58007829395469,516994)
(58007829397731,307401)
(58007829399993,296832)
(58007829402255,627196)
(58007829404517,421893)
(58007829406779,729387)
(58007829409041,739141)
(58007829411303,649936)
(58007829413565,386964)
(58007829415827,139645)
(58007829418089,509153)
(58007829420351,610610)
(58007829422613,568545)
(58007829424875,509321)
(58007829427137,641804)
(58007829429399,397296)
(58007829431661,412595)
(58007829433923,614223)
(58007829436185,753905)
(58007829491923,399754)
(58007829492469,401916)
(58007829495589,273818)
(58007829498709,501817)
(58007829501829,712141)
(58007829504949,687536)
(58007829508069,623381)
(58007829511189,228433)
(58007829514309,732641)
(58007829517429,299877)
(58007829520549,173513)
(58007829523669,206939)
(58007829526789,743270)
(58007829529909,517542)
(58007829533029,374965)
(58007829536149,435065)
(58007829539269,618143)
(58007829542389,193374)
(58007829545509,721685)
(58007829548629,197887)
(58007829612923,477566)
(58007829613469,611536)
(58007829616875,607414)
(58007829620281,544238)
(58007829623687,164372)
(58007829627093,569798)
(58305891085051,806209)
(58305891087764,806210)
(58305891121192,806211)
(58305891157333,806212)
(58305891159905,806213)
(58305891193474,806214)
(58305891229615,806215)
(58327270201564,812452)
(58327270204417,812460)
(58327270221695,812453)
(58327270223282,812456)
(58581780964588,648363)
(58581780965134,604823)
(58581780967253,663861)
(58581780969372,754701)
(58581780971491,336623)
(58581780973610,658849)
(58581780975729,562291)
(58581780977848,453539)
(58581780982086,689895)
(58701888172254,220660)
(58702797918429,22768)
(58702797922429,22891)
(58702797926429,388879)
(58702797930429,555525)
(58702797934429,233331)
(58702797938429,288883)
(58702797942429,464442)
(58702797946429,537775)
(58702797950429,484442)
(58702797954429,366668)
(58702797958429,56206)
(58702797963429,237775)
(58702797968429,397776)
(58702797973429,677728)
(58702797978429,477748)
(59146567710998,810674)
(59146567717998,811329)
(59340390536201,229979)
(59340390538939,229980)
(59479330228802,43745)
(59479330232208,43747)
(59479330235614,43748)
(59479330239020,43749)
(59479330242426,43750)
(59479330245832,43753)
(59479330249238,43754)
(59479330252644,43756)
(59479330256050,43757)
(59479330285536,44381)
(59479330286082,44389)
(59479330289488,44392)
(59479330292894,44394)
(59479330296300,44395)
(59479330299706,44396)
(59479330303112,44398)
(59479330306518,44501)
(59479330309924,44504)
(59479330313330,44508)
(59479330316736,44523)
(59479330320142,44524)
(59479330323548,44537)
(59479330326954,44538)
(59479330330360,44540)
(59479330333766,44547)
(59479330337172,44549)
(59479330340578,44560)
(59479330343984,44562)
(59479330347390,44563)
(59479330350796,44565)
(59479330354202,44569)
(59479330357608,44570)
(59479330361014,44572)
(59479330364420,44573)
(59479330393906,44579)
(59479330394452,44580)
(59479330397858,44581)
(59479330401264,44582)
(59479330404670,44583)
(59479330408076,44585)
(59479330411482,44586)
(59479330414888,44587)
(59479330418294,44590)
(59479330421700,44591)
(59479330425106,44592)
(59479330428512,44608)
(59479330431918,44609)
(59479330435324,44621)
(59479330438730,44623)
(59479330442136,44625)
(59479330445542,44626)
(59479330448948,44628)
(59479330452354,44629)
(59479330455760,44630)
(59479330459166,44631)
(59479330462572,44634)
(59479330465978,44642)
(59479330469384,44645)
(59479330472790,44646)
(59479330502276,44647)
(59479330502822,44650)
(59479330506228,44651)
(59479330509634,44652)
(59479330513040,44657)
(59479330516446,44658)
(59479330519852,44663)
(59479330523258,44665)
(59479330526664,44670)
(59776085749629,358970)
(59776085752504,358971)
(59776085755379,358972)
(59776085758254,358973)
(59776085761129,359970)
(59776085764004,359971)
(59776085766879,359972)
(59776085769754,359973)
(59776085772629,360970)
(59776085775504,360971)
(59776085778379,360972)
(59776085781254,360973)
(59874041109454,378511)
(59874041112329,378512)
(59874041115204,378513)
(59874041118079,378514)
(59874041120954,378515)
(59874041123829,379511)
(59874041126704,379512)
(59874041129579,379513)
(59874041132454,379514)
(59874041135329,379515)
(59874041138204,380511)
(59874041141079,380512)
(59874041143954,380513)
(59874041146829,380514)
(59874041149704,380515)
(59874041152579,381511)
(59874041155454,381512)
(59874041158329,381513)
(59874041161204,381514)
(59874041164079,381515)
(59874041166954,382511)
(59874041169829,382512)
(59874041172704,382513)
(59874041175579,382514)
(59874041178454,382515)
(59874041181329,413484)
(59874041184204,413485)
(59874041187079,413486)
(59874041189954,413487)
(59874041192829,413488)
(59874041195704,413489)
(59874041198579,414484)
(59874041201454,414485)
(59874041204329,414486)
(59874041207204,414487)
(59874041210079,414488)
(59874041212954,414489)
(59874041215829,415484)
(59874041218704,415485)
(59874041221579,415486)
(59874041224454,415487)
(59874041227329,415488)
(59874041230204,415489)
(59874041233079,416484)
(59874041235954,416485)
(59874041238829,416486)
(59874041241704,416487)
(59874041244579,416488)
(59874041247454,416489)
(59874041250329,417484)
(59874041253204,417485)
(59874041256079,417486)
(59874041258954,417487)
(59874041261829,417488)
(59874041264704,417489)
(59874041267579,418484)
(59874041270454,418485)
(59874041273329,418486)
(59874041276204,418487)
(59874041279079,418488)
(59874041281954,418489)
(59874041425514,714069)
(59874041428526,714095)
(59874041431538,714107)
(59874041434550,714129)
(59874041437562,714143)
(59874041440574,714159)
(60671718982183,54975)
(60671718982729,51968)
(60671718988397,58996)
(60671718991231,58997)
(60671718994065,58995)
(60671718999733,53986)
(60671719002567,51940)
(60671719044183,94973)
(60671719044729,96949)
(60671719048850,67852)
(60671719052971,68849)
(60671719057092,72215)
(60674624199836,99399)
(60674624204836,87999)
(60674624248578,46042)
(60674624264937,198222)
(60674626916006,531941)
(60674626918744,599987)
(60674626925748,76532)
(60909455936507,833451)
(60909455941059,833453)
(60909455950163,833486)
(60909455953539,833487)
(60909455957797,833488)
(60909455962349,833490)
(60909455966901,833493)
(60909455970865,833495)
(60909455975417,833498)
(60909455979675,833501)
(60909455983639,833503)
(60909455987603,833504)
(60909455993331,833510)
(60909455996119,833511)
(60909456000671,833513)
(60909456004635,833514)
(60909456009187,833516)
(60909456017409,833598)
(60909456022255,833601)
(60909456026027,833603)
(60909456030093,833605)
(60909456035041,833610)
(60909456039989,833618)
(60909456042291,833620)
(60909456047239,833625)
(60909456050129,833626)
(60909456054195,833627)
(60909456058555,833629)
(60909456062915,833632)
(60909456066393,833633)
(60909456070459,833634)
(60909456075995,833640)
(60909456083245,833674)
(60909456083539,833675)
(60909456087899,833680)
(60909456095443,833748)
(60909456098921,833749)
(60909456102987,833750)
(60909456107053,833751)
(60909456112001,833755)
(60909456115185,833756)
(60909456141298,833852)
(60909456146246,833856)
(60909456150606,833861)
(60909456154672,833866)
(60909456159326,833873)
(60909456161922,833875)
(60909456165694,833876)
(60909456170054,833878)
(60909456175002,833883)
(60909456175296,833884)
(60909456177892,833885)
(60909456182252,833887)
(60909456186318,833889)
(60909456191560,833895)
(60909456194450,833897)
(60909456198810,833900)
(60909456202876,833903)
(60909456206942,833906)
(60909456212184,833913)
(60909456215956,833919)
(60909456218552,833920)
(60909456223206,833923)
(60909456226684,833924)
(60909456231338,833927)
(60909456236580,833934)
(60909456239764,833938)
(60909456243242,833940)
(60909456243536,833941)
(60909456247014,833942)
(60909456251080,833943)
(60909456255146,833944)
(60909456259212,833945)
(60909456263572,833947)
(60909456267932,833950)
(60909456271410,833951)
(60909456271704,833952)
(60909456275476,833953)
(60909456279542,833954)
(60909456279836,833955)
(60909456284784,833960)
(60909456287968,833962)
(60909456292328,833965)
(60909456296982,833970)
(60909456300754,833974)
(60909456303938,833975)
(60909456308886,833979)
(60909456312658,833982)
(60909456317018,833986)
(60909456321378,833991)
(60909456324268,833992)
(60909456327870,833994)
(60909456331089,833997)
(60961987618939,816187)
(61230501374252,533006)
(61230501376442,533007)
(61230501378632,632006)
(61230501380822,633006)
(61230501383012,634006)
(61230501385202,635006)
(61230501400029,571007)
(61230501402767,572007)
(61230501405505,573007)
(61979434362172,367041)
(61979434362718,368042)
(62306382430776,742964)
(62557443733319,125020)
(62761204204669,348011)
(62761204205215,234227)
(62761204208192,678512)
(62761204211169,501286)
(62761204214146,531121)
(62761204217123,612315)
